Cote,Numéro du reportage,Titre,Date,Photographe(s)
20100562/217,3951,"""Cérémonie de remise de décoration à M.DUTILLEUX, Mme SCARAMONI, M. BOUBAKEUR, M. DESMAREST, Mme RUDLER, M.BONNEMAIN, M.JUHEL, Melle TAUZIAT, Mme TERIADE, M.GENET.""",2004-06-25,
20100562/218,3953,"""Finale de la Coupe de France de RUGBY au Stade de France""",2004-06-26,
20100562/219,3954,"""Sommet de l'OTAN à ISTAMBUL""",2004-06-27,
20100562/220,3955,"""Réunion de travail extraordinaire des Chefs d'état et de Gouvernement de la Communauté Européenne""",2004-06-29,
20100562/221,3956,"""Entretien avec Gunter VERHEUGEN Commissaire européen.""",2004-06-30,
20100562/222,3958,"""Entretien de Monsieur le Président de la République avec RODRIGO RATO directeur général du Fonds Monétaire International""",2004-07-02,
20100562/223,3959,"""26ème Consultation franco-italienne""",2004-07-02,
20100562/224,3960,"""Remise de lettres de créance""",2004-07-02,
20100562/225,3961,"""Entretien de Monsieur le Président de la République avec LI CHANGCHUN membre du Comité permanent du Bureau politique du Parti Communiste Chinois.""",2004-07-03,
20100562/226,3963,"""Cérémonie de remise de décorations M. CAÏTUCOLI, M. LANCELOT, M. DALLEAU, M. GOLDMANN, M. NORA, M. INCHAUSPE, M. ROCHEREAU DE LA SABLIERE, M. CLAVERIE, Mme BOBET, M. CLAVIER, Mme SANTONI-BORNE, M. LALANNE.""",2004-07-05,
20100562/227,3967,"""Déplacement de Monsieur de la République au CHAMBON SUR LIGNON""",2004-07-08,
20100562/228,3970,"""Entretien du Président de la République avec OMAR BONGO""",2004-07-11,
20100562/229,3971,"""Remise de décoration à l'amiral GUILLAUD par le Général GEORGELIN""",2004-07-13,
20100562/230,3972,"""Remise de décoration suivie de la Garden party au ministère de la Défense""",2002-07-13,
20100562/231,3973,"""Garden party au ministère de l'Outre-mer""",2004-07-13,
20100562/232,3974,"""Remise de décoration à l'Adjudant RICHARD et au Garde DOLIWA par le Général GEORGELIN""",2004-07-14,
20100562/233,3975,"""Cérémonie du 14 Juillet 2004 (Défilé Militaire et Garden party)""",2004-07-14,
20100562/234,3976,"""Entretien de Monsieur le Président de la République avec Jean-Paul DELEVOYE médiateur de la République""",2004-07-15,
20100562/235,3977,"""Entretien avec Denis SASSOU NGESSO Président de la République du CONGO""",2004-07-16,
20100562/236,3978,"""Entretien avec Anne-Marie DESAULLE Présidente de l'association des Paralysés de France""",2004-07-16,
20100562/237,3979,"""Entretien avec SERGUEI LAVROF ministre des Affaires étrangères de la fédération de RUSSIE""",2004-07-16,
20100562/238,3980,"""Entretien et déjeuner avec HORST KOHLER Président de la République d'Allemagne""",2004-07-16,
20100562/239,3983,"""Entretien de Monsieur le Président de la République avec Monsieur THELOT""",2004-07-19,
20100562/240,3984,"""Remise du rapport annuel de l'AMF""",2004-07-19,
20100562/241,3985,"""Remise du rapport de la CNIL""",2004-07-20,
20100562/242,3986,"""Entretien suivi d'un déjeuner offert par Monsieur le Président de la République en l'honneur de RECEP TAYYIP ERDOGAN Premier ministre de la République de TURQUIE""",2004-07-20,
20100562/243,3987,"""Remise du rapport du CSA par DOMINIQUE BAUDIS""",2004-07-20,
20100562/244,3988,"""Inauguration par Monsieur le Président de la République CO-PRINCE D'ANDORRE de la Nouvelle Ambassade d'Andorre""",2004-07-20,
20100562/245,3989,"""Déjeuner des parlementaires""",2004-07-21,
20100562/246,3990,"""Entretien de Monsieur le Président de la République avec TEODORO OBIANG NGUEMA MBASOGO Président de la République de GUINEE EQUATORIALE""",2004-07-21,
20100562/247,3991,"""Cérémonie de signature d'une lettre d'intention entre AIRBUS et TURKISH AIRLINES""",2004-07-21,
20100562/248,3992,"""Déplacement de Monsieur le Président de la République au centre de protothérapie d'Orsay""",2004-07-22,
20100562/249,3993,"""Déjeuner en l'honneur de son excellence Daruk Seri Abdullah BADAWI Premier ministre de la Malaisie""",2004-07-22,
20100562/250,3994,"""Entretien de Monsieur le Président de la République avec MARTIN TORRIJOS Président élu de la République du PANAMA""",2004-07-22,
20100562/251,3996,"""Entretien d’Abdoulaye WADE Président de la République du SENEGAL""",2004-07-23,
20100562/252,3998,"""Visite de Monsieur le Président de la République et de Madame Jacques CHIRAC à MADAGASCAR""",2004-07-27,
20100562/253,3999,"""Cérémonie d'accueil du Saint Père par Monsieur le Président de la République et Mme Jacques CHIRAC suivie d'un entretien à l'aéroport""",2004-08-14,
20100562/254,4000,"""Déplacement de Monsieur le Président de la République à TOULON à l'occasion du 60e anniversaire du débarquement en Provence ""Porte-avions CHARLES DE GAULLE""""",2004-08-15,
20100562/255,4002,"""Entretien avec Monsieur JYOTINDRA NATH DIXIT""",2004-08-24,
20100562/256,4004,"""60 e anniversaire de la Libération de Paris""",2004-08-25,
20100562/257,4005,"""Entretien avec le Contre-Amiral GUILLAUD""",2004-08-26,
20100562/258,4006,"""Entretien avec Monsieur FAURE, ambassadeur de France au MAROC""",2004-08-26,
20100562/259,4007,"""Dépôt de gerbe au pied de la statue du Général DE GAULLE""",2004-08-26,
20100562/260,4008,"""Cérémonie religieuse à Notre-Dame de PARIS à l'occasion du 60e anniversaire de la Libération de Paris messe anniversaire du TE DEUM""",2004-08-26,
20100562/261,4009,"""Inauguration de l'Esplanade Jacques CHABAN DELMAS""",2004-07-26,
20100562/262,4010,"""Entretien avec MG LEDEC ambassadeur de France en Côte d'Ivoire""",2004-07-26,
20100562/263,4011,"""Entretien avec Philippe GUELLUY ambassadeur de France en Chine""",2004-08-27,
20100562/264,4012,"""Entretien avec Philippe LECOURTIER ambassadeur de France au LIBAN""",2004-08-27,
20100562/265,4013,"""Entretien avec Jean Félix PAGANON ambassadeur de France en Afrique du sud""",2004-08-27,
20100562/266,4014,"""Entretien avec Hubert COLIN DEVERDIERE ambassadeur de France en Algérie""",2004-08-27,
20100562/267,4015,"""Réception à l'occasion de la conférence des ambassadeurs""",2004-08-27,
20100562/268,4016,"""Intervention télévisée de Monsieur le Président de la République""",2004-08-29,
20100562/269,4017,"""Rencontre franco-germano-russe à SOTCHI""",2004-08-31,
20100562/270,4018,"""Entretien de Monsieur le Président de la République avec monsieur HEITZ délégué interministériel à la Sécurité routière""",2004-09-03,
20100562/271,4020,"""Visite de Monsieur le Président de la République et de Madame J. CHIRAC à l'Institut National des Invalides""",2004-09-03,
20100562/272,4021,"""Visite du site de restauration des œuvres dédiées au musée du Quai BRANLY""",2004-09-03,
20100562/273,4024,"""Séance solennelle de la Cour des comptes à l'occasion de l'installation du Premier Président""",2004-09-06,
20100562/274,4026,"""Entretien de Monsieur le Président de la République avec Alain ROBBE GRILLET et Pierre-Jean REMY membres de l'Académie Française""",2004-09-07,
20100562/275,4027,"""Entretien de Monsieur le Président de la République avec ILHAM ALIEV Président de la République d' AZERBAIDJAN""",2004-09-07,
20100562/276,4028,"""MANSOUR KAMARDINE député de Mayotte""",2004-09-07,
20100562/277,4029,"""34e anniversaire de la Fondation Claude POMPIDOU""",2004-09-07,
20100562/278,4030,"""Remise du rapport annuel de l’Autorité de Régulation des Télécommunications (ART)""",2004-09-09,
20100562/279,4031,"""Comité de réflexion""",2004-09-10,
20100562/280,4031,"""Rencontre suivi d'un déjeuner avec la délégation française Handisport""",2004-09-10,
20100562/281,4032,"""Décoration du Lieutenant-Colonel GILLET par le général GEORGELIN""",2004-09-13,
20100562/282,4033,"""Rencontre franco-germano-espagnole""",2004-09-13,
20100562/283,4034,"""Réunion avec les entreprises membres du Comité d'honneur de l'année de la France en Chine""",2004-09-14,
20100562/284,4035,"""Entretien de Monsieur le Président de la République avec Jean-Paul FITOUSSI Président de l'Observatoire Français des Conjonctures économiques""",2004-09-14,
20100562/285,4037,"""Entretien de Monsieur le Président de la République avec Julia KRISTEVA Présidente du Conseil national sur le handicap""",2004-09-14,
20100562/286,4038,"""Réception du Syndicat de la Presse Quotidienne Régionale""",2004-09-15,
20100562/287,4039,"""Décoration collective de MM. ARKOUN, TAURIAC, MAUS, Mme RUDETZKI, MM. MALLET, DELEVOY, VENDROUX, Mme BESSY, M. PELIMLIN, M. BOYER, Mme KRISTEVA, M. GHERRAM""",2004-09-17,
20100562/288,4040,"""Cérémonie de remise de lettres de créance""",2004-09-17,
20100562/289,4041,"""Entretien de Monsieur le Président de la République avec le Cheikh HAMAD BIN JASSEM AL THANI Premier Vice Premier ministre et ministre des Affaires étrangères du QATAR""",2004-09-17,
20100562/290,4043,"""Journée du Patrimoine""",2004-09-19,
20100562/291,4044,"""Le Président de la République participe à New-York aux réunions sur la dimension sociale de la mondialisation et sur la lutte contre la faim et la pauvreté""",2004-09-20,
20100562/292,4045,"""Déjeuner en tête à tête avec son excellence Monsieur LEE KUAN YEW ancien Premier ministre, ministre MENTOR de la République de SINGAPOUR""",2004-09-22,
20100562/293,4046,"""Entretien avec Monsieur JOAO MANUEL DURAO BARROSO Président désigné de la commission Européenne""",2004-09-22,
20100562/294,4049,"""Pot de départ des commissaires GERARD (SPHP) et BRICQ (GSPR)""",2004-09-22,
20100562/295,4050,"""Entretien avec Régis DEVOLDERE Président de l'UNAPEI""",2004-09-23,
20100562/296,4051,"""Entretien avec M et Mme JEAN FALALA accompagnés du ministre Renaud DUTREIL""",2004-09-23,
20100562/297,4052,"""Entretien avec le Professeur DUBERNARD député""",2004-09-23,
20100562/298,4053,"""Entretien de Monsieur le Président de la République avec Jean-Paul CLUZEL Président de radio France""",2004-09-23,
20100562/299,4054,"""Entretien de Monsieur le Président de la République avec Guy AZAIS ambassadeur de France en Angola""",2004-09-23,
20100562/300,4055,"""Inauguration par Monsieur le Président de la République du Salon de l'automobile""",2004-09-24,
20100562/301,4057,"""Déjeuner avec Sam NUJOMA Président de la République de NAMIBIE""",2004-09-27,
20100562/302,4058,"""Réunion préparatoire au voyage en Chine avec des chefs de Petites et moyennes entreprises (PME)""",2004-09-27,
20100562/303,4059,"""Entretien avec Sa Majesté ABDULLAH II, roi de Jordanie""",2004-09-28,
20100562/304,4060,"""Réception offerte en l'honneur de la délégation française aux Jeux de la XXVIIIIème Olympiade. Remise de Décorations""",2004-09-28,
20100562/305,4062,"""Interview par l’agence CHINE NOUVELLE""",2004-09-29,
20100562/306,4063,"""Entretien d’Angela MERKEL Présidente de l'Union Chrétienne Démocratie Allemande (CDU)""",2004-09-28,
20100562/307,4064,"""Entretien avec JINJUN ZHAO ambassadeur de la République Populaire de CHINE en France""",2004-09-28,
20100562/308,4065,"""Discours sur la cohésion sociale à la Mutualité""",2004-09-30,
20100562/309,4066,"""Entretien avec Raffic HARIRI Président du Conseil des ministres de la République libanaise""",2004-09-30,
20100562/310,4067,"""Rencontre franco-allemande à Strasbourg""",2004-10-01,
20100562/311,4068,"""Entretien suivi d'un déjeuner offert en l'honneur d’ALEKSANDER KWASNIEWSKI Président de la République de Pologne""",2004-10-04,
20100562/312,4069,"""Visite de travail à SINGAPOUR""",2004-10-06,
20100562/313,4070,"""Visite d’État au VIETNAM""",2004-10-07,
20100562/314,4071,"""Visite d’État en CHINE""",2004-10-09,
20100562/315,4072,"""Inauguration par Monsieur le Président de la République et HOSNI MOUBARAK Président de la République Arabe d'EGYPTE, de l'exposition sur les PHARAONS à l'Institut du Monde Arabe.""",2004-10-13,
20100562/316,4073,"""Déjeuner offert par Monsieur le Président de la République en l'honneur de HOSNI MOUBARAK président de la République arabe d'Égypte""",2004-10-13,
20100562/317,4074,"""Entretien suivi d'un déjeuner offert par Monsieur le Président de la République en l'honneur de Paul MARTIN Premier ministre du CANADA""",2004-10-14,
20100562/318,4075,"""Entretien avec Alain BAUER""",2004-10-14,
20100562/319,4076,"""Entretien de Monsieur le Président de la République avec JF BURGELIN Procureur Général près de la Cour de cassation""",2004-10-15,
20100562/320,4077,"""Prise d'armes d'Automne""",2004-10-15,
20100562/321,4078,"""Entretien avec ELIE COHEN membre du Conseil d'analyse économique (CAE)""",2004-10-15,
20100562/322,4079,"""Visite au musée du quai Branly""",2004-10-15,
20100562/323,4080,"""Entretien suivi d'un déjeuner offert en l'honneur de GORAN PERSSON Premier ministre du royaume de SUEDE""",2004-10-18,
20100562/324,4081,"""Déplacement à Genève et à Gex (AIN, France) à l'occasion du 50ème anniversaire du CERN (Centre Européen de Recherche Nucléaire)""",2004-10-19,
20100562/325,4082,"""Déjeuner offert en l’honneur des membres du bureau du Sénat""",2004-10-20,
20100562/326,4083,"""Entretien avec le général CAO GANGCHUAN ministre de la Défense de la République populaire de CHINE""",2004-10-20,
20100562/327,4084,"""Déplacement de Monsieur le Président de la République à Ségur les Villas et à Murat dans le Cantal sur l'avenir de l'agriculture""",2004-10-21,
20100562/328,4086,"""Judaïsme et liberté""",2004-10-22,
20100562/329,4088,"""Entretien avec Jean-Claude JUNCKER, Premier ministre du Grand Duché du Luxembourg""",2004-10-25,
20100562/330,4089,"""Décoration collective pour les Paralympiques (Athènes 2004)""",2004-10-25,
20100562/331,4090,"""83ème consultations franco-allemandes et 4ème conseil des ministres franco-allemand à BERLIN""",2004-10-26,
20100562/332,4091,"""Décoration par M.BLANGY""",2004-10-26,
20100562/333,4092,"""Déjeuner avec des parlementaires""",2004-10-27,
20100562/334,4094,"""3èmes états généraux des malades du cancer et de leurs proches, au parc floral de Paris""",2004-10-28,
20100562/335,4095,"""Déjeuner avec OMAR BONGO ONDIMBA, Président de la République du CONGO""",2004-10-28,
20100562/336,4096,"""Cérémonie de signature du Traité constitutionnel européen à ROME""",2004-10-29,
20100562/337,4097,"""Entretien avec Bernard LORD, Premier ministre du nouveau BRUNSWICH""",2004-11-03,
20100562/338,4098,"""Remise de lettres de créance""",2004-11-03,
20100562/339,4099,"""Conseil Européen à BRUXELLES""",2004-11-04,
20100562/340,4100,"""Déplacement aux Émirats Arabes Unis pour les présentations de condoléances à l’émir Cheikh KHALIFA et au Prince héritier""",2004-11-05,
20100562/341,4102,"""Déplacement de Monsieur le Président à Nîmes""",2004-11-08,
20100562/342,4104,"""Dépôt de gerbe sur la tombe du Général DE GAULLE à COLOMBEY LES DEUX EGLISES""",2004-11-09,
20100562/343,4105,"""Entretien de Monsieur le Président avec une délégation palestinienne: Ahmed QOREI, Rawhi FATTOUH, Nabil SHAATH, Mahmoud ABBAS""",2004-11-09,
20100562/344,4106,"""Entretien avec Rigoberta MENCHU, Prix Nobel de la Paix""",2004-11-09,
20100562/345,4108,"""Déjeuner avec des parlementaires""",2004-11-10,
20100562/346,4109,"""Hommage national aux neuf militaires français tués à Bouaké en Côte-d'Ivoire, aux Invalides""",2004-11-10,
20100562/347,4110,"""Réunion du Haut Conseil de la Mémoire combattante""",2004-11-10,
20100562/348,4111,"""Cérémonie du 86e anniversaire de l'Armistice de 1918""",2004-11-11,
20100562/349,4112,"""Déclaration de Monsieur le Président suite au décès de Yasser ARAFAT à l'hôpital Percy-Clamart""",2004-11-11,
20100562/350,4114,"""Déplacement à Marseille à l'occasion de la Cité de la Réussite, dialogue avec des jeunes et inauguration de la Bibliothèque l'Alcazar""",2004-11-14,
20100562/351,4115,"""Interview de Monsieur le Président par la BBC""",2004-11-15,
20100562/352,4116,"""Entretient avec Abdou DIOUF, secrétaire général de l'Organisation Internationale de la Francophonie""",0204-11-15,
20100562/353,4117,"""Visite aux Armées : déplacement à la base aérienne 120 de CAZAUX""",2004-11-16,
20100562/354,4118,"""Entretien avec Jean CHRETIEN, ancien Premier ministre du Canada""",2004-11-16,
20100562/355,4119,"""Entretien avec Michel CAMDESSUS, gouverneur honoraire de la Banque de France""",2004-11-16,
20100562/356,4120,"""Entretien avec Bill GATES, Président de Microsotf""",2004-11-17,
20100562/357,4121,"""Sommet franco-britannique à LONDRES""",2004-11-18,
20100562/358,4122,"""Visite officielle de Monsieur le Président et de Madame Jacques CHIRAC au Royaume-Uni""",2004-11-18,
20100562/359,4123,"""Entretien avec Madame Claire BRISSET, défenseuse du droit des enfants""",2004-11-19,
20100562/360,4126,"""Remise de décoration au colonel SAUVEGRAIN par le général GEORGELIN""",2004-11-22,
20100562/361,4127,"""Déjeuner avec ZVETOZAR MAROVIC, Président de SERBIE et MONTENEGRO""",2004-11-22,
20100562/362,4128,"""Table ronde sur l'exportation""",2004-11-22,
20100562/363,4129,"""Présentation à Madame Jacques CHIRAC et à sa Majesté la reine RANIA de Jordanie, de produits de l'artisanat de la Jordanie""",2004-11-22,
20100562/364,4130,"""Déjeuner avec des responsables d’institutions culturelles""",2004-11-23,
20100562/365,4131,"""Remise de décoration par Monsieur le Président à HASSAN ABOUYOUB, ambassadeur du Royaume du Maroc en France""",2004-11-23,
20100562/366,4132,"""Voyage officiel en LIBYE""",2004-11-24,
20100562/367,4133,"""Xe sommet de la Francophonie à OUAGADOUGOU""",2004-11-25,
20100562/368,4135,"""Graffitis sur le mur d'entrée du Palais de l'Élysée par ACT UP""",2004-11-30,
20100562/369,4136,"""Entretien avec Willy ROSENBAUM à l'occasion de la Journée mondiale de lutte contre le Sida""",2004-11-30,
20100562/370,4137,"""Sommet franco-allemand à LUBECK""",2004-12-02,
20100562/371,4138,"""Entretien avec Walid Joumblat, Président du Parti Socialiste progressiste libanais""",2004-12-03,
20100562/372,4139,"""Entretien avec Pascal LAMY, Commissaire Européen""",2004-12-03,
20100562/373,4151,"""Déjeuner avec PERVEZ MUSHARRAF, Président du PAKISTAN""",2004-12-08,
20100562/374,4152,"""Cérémonie de remise des insignes de Chevalier de la Légion d'Honneur à CHEIKH ALI BUGSHAN""",2004-12-08,
20100562/375,4153,"""Remise du rapport du haut Comité pour le logement des personnes défavorisées""",2004-12-09,
20100562/376,4154,"""Entretien avec Mikhail FRADKOF, Premier ministre de RUSSIE""",2004-12-09,
20100562/377,4155,"""Conseil supérieur de la Fonction Militaire""",2004-12-13,
20100562/378,4156,"""Entretien avec Jan Peter BALKENENDE, Premier ministre des Pays Bas""",2004-12-13,
20100562/379,4157,"""Noël de la Crèche""",2004-12-13,
20100562/380,4159,"""Inauguration par Monsieur le Président de la République du Viaduc de MILLAU (Aveyron)""",2004-12-14,
20100562/381,4160,"""Interview télévisée sur TF1 (TURQUIE)""",2004-12-15,
20100562/382,4161,"""Déjeuner avec Guy VERHOSFTADT, Premier ministre de Belgique""",2004-12-15,
20100562/383,4162,"""Arbre de Noël de l’Élysée""",2004-12-15,
20100562/384,4164,"""Conseil Européen à BRUXELLES""",2004-12-16,
20100562/385,4165,"""Photographies dans le Bureau du Président avec Bernard EMIE, ambassadeur de France au LIBAN""",2004-12-18,
20100562/386,4166,"""Remise des insignes de Grand Officier de l'Ordre national du Mérite à Philippe SEGUIN par Monsieur le Président""",2004-12-18,
20100562/387,4168,"""Déclaration de Monsieur le Président à l'occasion de la libération des otages français en Irak, Christian CHESNOT et Georges MALBRUNOT""",2004-12-22,
20100562/388,4169,"""Entretien avec Moulay Rachid""",2004-12-22,
20100562/389,4170,"""Accueil par le Président de la République des deux otages français, à Villacoublay""",2004-12-22,
20100562/390,4171,"""Vœux du nouvel an de Monsieur le Président""",2004-12-31,
20100562/391,4172,"""Cérémonie des Vœux : Salut au drapeau, suivi d'un hommage aux victimes du Tsunami""",2005-01-03,
20100562/392,4173,"""Cérémonie des Vœux : Vœux du Gouvernement""",2005-01-03,
20100562/393,4174,"""Cérémonie des Vœux : Vœux du Conseil Constitutionnel""",2005-01-03,
20100562/394,4175,"""Cérémonie des Vœux : Vœux des bureaux des Assemblées""",2005-01-03,
20100562/395,4176,"""Cérémonie des Vœux : Forces vives""",2005-01-04,
20100562/396,4177,"""Cérémonie des Vœux : Autorités religieuses""",2005-01-04,
20100562/397,4178,"""Cérémonie des Vœux : municipalité de PARIS""",2005-01-04,
20100562/398,4179,"""Cérémonie des Vœux : Corps constitués""",2005-01-05,
20100562/399,4180,"""Remise de décoration par Monsieur le Président au Général BENTEGEAT""",2005-01-05,
20100562/400,4181,"""Cérémonie des Vœux : aux Armées""",2005-01-05,
20100562/401,4182,"""Cérémonie des Vœux : États ayant conclu des accords particuliers avec la France""",2005-01-06,
20100562/402,4183,"""Cérémonie des Vœux : Corps diplomatique""",2005-01-06,
20100562/403,4184,"""Cérémonie des Vœux : Presse""",2005-01-07,
20100562/404,4185,"""Participation de Monsieur le Président de la République à l'audience solennelle de rentrée de la Cour de cassation""",2005-01-07,
20100562/405,4186,"""Cérémonie des Vœux : Anciens combattants""",2005-01-07,
20100562/406,4187,"""Entretien de Monsieur le Président avec Martin SCORSESE""",2005-01-08,
20100562/407,4188,"""Photographies de Gaétan HALNA DU FRETAY et sa famille dans le bureau de Président avec Madame Jacques CHIRAC""",2005-01-09,
20100562/408,4189,"""Entretien de Monsieur le Président avec Pedro Santana LOPES, Premier ministre du PORTUGAL""",2005-01-10,
20100562/409,4192,"""Cérémonie de remise de lettres de créance""",2005-01-11,
20100562/410,4193,"""Entretien de Monsieur le Président avec Hassan WIRAJUDA, ministre des Affaires étrangères de la République d'Indonésie""",2005-01-11,
20100562/411,4194,"""Cérémonie des Vœux : remise de la galette des rois par les artisans-boulangers-pâtissiers""",2005-01-11,
20100562/412,4195,"""Entretien Partis politique: Nicolas SARKOZY, UMP et François HOLLANDE, PS et Jean-Pierre CHEVENEMENT, M.C""",2005-01-12,
20100562/413,4197,"""Entretien suivi d'un déjeuner avec Ghazi AL-YAOUAR, Président de la République d'Irak""",2005-01-13,
20100562/414,4198,"""Entretien avec René CARRON, Président du Crédit Agricole""",2005-01-13,
20100562/415,4199,"""Entretien Partis politique: Jean-Marie BAYLET, PRG et Gilles LEMAIRE, les Verts et Philippe DE VILLIERS, MPF""",2005-01-13,
20100562/416,4200,"""Entretien Partis politique : Marie George BUFFET, PCF et Jean-François BAYROU, UDF""",2005-01-14,
20100562/417,4201,"""Cérémonie de remise de décorations à M. AMELLER, M.RAYNAL, Mme DARRIEUX, M.ORIZET, Mme GERBAUD, Mme BOISSEAU, M. CATTY dit MICHOU, M. PATIER, M.MAUGER, M.CARRON, M.KHAYAT, Mme BRISSET""",2005-01-14,
20100562/418,4202,"""Entretien avec Pierre LELONG, Président de la Commission Consultative du Secret de la Défense Nationale""",2005-01-14,
20100562/419,4203,"""Entretien avec John KERRY, sénateur démocrate américain""",2005-01-14,
20100562/420,4204,"""Réception à l'occasion de la présentation des ouvrages sur 20 ans d'archéologie française.""",2005-01-14,
20100562/421,4205,"""Cérémonie des Vœux : Vœux en Corrèze""",2005-01-15,
20100562/422,4206,"""Remise du rapport : ""pour une nouvelle politique industrielle"" par Jean-Louis BEFFA, président directeur général de Saint-Gobain.""",2005-01-17,
20100562/423,4207,"""Cérémonie des Vœux : communauté Orthodoxe""",2005-01-17,
20100562/424,4209,"""Réception offerte à l'occasion du départ du secrétariat du CSI, du Gal NOROIS, de M. CARRERE et de M. YVINEC""",2005-01-19,
20100562/425,4210,"""Entretien avec Nestor KIRCHNER, Président de la République d'ARGENTINE""",2005-01-20,
20100562/426,4211,"""Entretien avec FATOS NANO, Premier ministre de la République d'ALBANIE""",2005-01-20,
20100562/427,4212,"""Cérémonie de remise des insignes de Commandeur de la Légion d'honneur à LI KA SHING""",2005-01-20,
20100562/428,4213,"""Entretien avec John MONKS, secrétaire général de la Confédération Européenne des Syndicats""",2005-01-21,
20100562/429,4214,"""Entretien avec Idriss DEBY, Président du TCHAD""",2005-01-21,
20100562/430,4215,"""Conférence Internationale sur la ""Biodiversité: Science et gouvernance"" à l'UNESCO""",2005-01-24,
20100562/431,4216,"""Déjeuner à l'occasion de la Conférence de Paris sur la Biodiversité""",2005-01-24,
20100562/432,4217,"""Entretien avec Abdullah BADAWI, Premier ministre de Malaisie""",2005-01-24,
20100562/433,4218,"""Inauguration par Monsieur le Président du Mémorial de la Shoah à Paris""",2005-01-25,
20100562/434,4219,"""Réception Haut Conseil de la Francophonie""",2005-01-25,
20100562/435,4220,"""Déplacement de Monsieur le Président en POLOGNE à l'occasion du 60ème anniversaire de la Libération du camp d'Auschwitz-Birkenau""",2005-01-27,
20100562/436,4221,"""Entretien avec Son Éminentissime Béatitude Mar Nasrallah BOUTROS Cardinal SFEIR, Patriarche maronite d'Antioche et de tout l'Orient""",2005-01-28,
20100562/437,4222,"""Table Ronde avec des Chefs d'entreprise européens""",2005-01-28,
20100562/438,4223,"""Entretien avec une délégation de sénateurs américains conduite par Gordon SMITH, sénateur républicain de l'Oregon""",2005-01-31,
20100562/439,4224,"""Entretien avec AZALI ASSOUMANI, président de l’union des COMORES""",2005-01-31,
20100562/440,4224,"""Entretien avec M. PAREYRE, Directeur Général de la Gendarmerie Nationale""",2005-02-02,
20100562/441,4225,"""Interview de Monsieur le Président par la presse sénégalaise.""",2005-02-02,
20100562/442,4227,"""Déjeuner de travail de Monsieur MASSONI""",2005-02-03,
20100562/443,4229,"""Entretien avec Jean-Claude JUNCKER, Premier ministre du Luxembourg et président en exercice de l'Union européenne""",2005-02-07,
20100562/444,4230,"""Discours de Monsieur le Président de la République sur la citoyenneté des personnes handicapées""",2005-02-08,
20100562/445,4232,"""Photographies de la petite Emma nièce de l'interprète Amanda GALSWORTHY dans le bureau du Président""",2005-02-08,
20100562/446,4233,"""Entretien avec CONDOLEEZZA RICE, secrétaire d'États des États-Unis d'Amérique""",2005-02-08,
20100562/447,4234,"""Déjeuner avec des parlementaires""",2005-02-09,
20100562/448,4235,"""Présentation à Monsieur le Président des résultats de la Mission européenne Huygens sur TITAN""",2005-02-09,
20100562/449,4236,"""Réception de Madame Chirac""",2005-02-10,
20100562/450,4237,"""Déplacement de Monsieur le Président à BARCELONE""",2005-02-11,
20100562/451,4238,"""Entretien avec TERJE ROED LARSEN, envoyé spécial du secrétaire général de l'ONU pour le Liban""",2005-02-12,
20100562/452,4240,"""Entretien avec Romano PRODI, ancien Président de la Commission Européenne""",2005-02-14,
20100562/453,4241,"""Entretien avec Silvain SHALOM, Vice Premier ministre et ministre des Affaires étrangères d'ISRAEL""",2005-02-14,
20100562/454,4242,"""Rencontre avec des députés européens""",2005-02-14,
20100562/455,4243,"""Dîner organisé par Madame Jacques CHIRAC""",2005-02-14,
20100562/456,4244,"""Table Ronde sur le changement climatique""",2005-02-15,
20100562/457,4245,"""Entretien avec Stanislas GROSS, Premier ministre Tchèque""",2005-02-15,
20100562/458,4246,"""Réception à l'occasion du cinquantenaire de la collection ""Terre humaine"".""",2005-02-15,
20100562/459,4247,"""Haut Conseil de la population et de la famille""",2005-02-17,
20100562/460,4249,"""Entretien de Monsieur le Président de la République et OLIVIER GALANT""",2005-02-18,
20100562/461,4250,"""Déjeuner organisée par Madame Chirac""",2005-02-21,
20100562/462,4251,"""Rencontre franco-américaine à Bruxelles""",2005-02-21,
20100562/463,4252,"""Sommet OTAN""",2005-02-22,
20100562/464,4253,"""Sommet Union Européenne/États-Unis""",2005-02-22,
20100562/465,4254,"""Photographies d’André PARANT dans le bureau du Président""",2005-02-23,
20100562/466,4255,"""Déjeuner offert en l'honneur de Sa Majesté ABDULLAH roi de JORDANIE""",2005-02-23,
20100562/467,4256,"""Photographies du Palais de l'Élysée sous la neige (Parc)""",2005-02-23,
20100562/468,4257,"""Table ronde sur la consommation et les droits de l'homme""",2005-02-24,
20100562/469,4258,"""Entretien avec Jean Michel LEMETAYER Président de la FNSEA""",2005-02-24,
20100562/470,4259,"""Entretien avec le Dr HASSAN ROHANI secrétaire général du Conseil Suprême de sécurité nationale d'IRAN""",2005-02-24,
20100562/471,4260,"""Pot de départ d’André PARANT dans le bureau de Monsieur BAS""",2005-02-24,
20100562/472,4261,"""Audience de la commission de régulation de l'énergie""",2005-02-25,
20100562/473,4262,"""Interview de Monsieur le Président par Robert SOLTYK journaliste polonais""",2005-02-25,
20100562/474,4263,"""Entretien avec Bernard LAYRE Président des Jeunes agriculteurs""",2005-02-25,
