N°Reportage,Date,Intitulé,Lieux,Photographe
,,Remise du rapport de Gérard,,
,,"LARCHER, Président de la",,
,,Commission chargée d’organiser,,
,10/04/200,la concertation sur les missions,,
80572,8,de l’hôpital,Élysée,L.Blevennec
,,Entretien avec Graham,,
,,"WATSON, Président du Groupe",,
,,Alliance des démocrates et,,
,,libéraux pour l’Europe au,,
,,"Parlement européen, dans le cadre",,
,10/04/200,de la préparation de la présidence,,
80573,8,française de l’Union européenne,Élysée,L.Blevennec
,,Entretien avec une délégation de,,
,,l'association des gardes d'honneur,,
,,de la nécropole de Notre-Dame,,
,10/04/200,de Lorette et de la communauté,,
80574,8,musulmane,Élysée,D.Noizet
,,Remise du rapport de Michel,,
,,"FRANC, Président du Haut",,
,11/04/200,comité d’évaluation de la,,
80576,8,condition militaire,Élysée,M.Klein
,,Entretien avec les représentants,,
,,des associations familiales et des,,
,,usagers des transports ainsi que,,
,11/04/200,"Guillaume PEPY, Président de",,
80577,8,la SNCF,Élysée,M.Klein
,,Point presse de Jean-Davis,,
,,"LEVITTE, Général",,
,,"GEORGELIN, Amiral",,
,11/04/200,GUILLAUD sur la libération des,,
80578,8,membres de l'équipe le PONANT,Élysée,L.Blevennec
,,Entretien avec les familles des,,
,11/04/200,membres français de l'équipage,,
80579,8,du voilier le Ponant,Élysée,M.Klein
,,Entretien avec Marc,,
,12/04/200,"Ravalomanana, Président de la",,
80580,8,République de Madagascar,Élysée,M.Klein
,12/04/200,"Entretien avec Mathieu Ricard,",,
80581,8,moine tibétain,Élysée,M.Klein
80582,14/04/200,"Entretien avec Francis WURTZ,",Élysée,A.Roine
,8,Président du Groupe confédéral,,
,,de la gauche unitaire européenne,,
,,"au Parlement européen, dans le",,
,,cadre de la préparation de la,,
,,présidence française de l’Union,,
,,européenne,,
,,Décoration collective: Roland De,,
,,"La Poype, Maurice Herzog, Guy",,
,,"Roux, Henry Tincq, Charles",,
,,"Beigbeder, Marie-Claude",,
,,"Pietragalla, Rosette Peschaud,",,
,14/04/200,"Pierre Richard, Geneviève",,
80583,8,"Jurgensen, Eric Vu An",Élysée,Noizet/Blevennec
,,Accueil des  ex-otages du voilier,,
,14/04/200,"""Le Ponant"" au Pavillon",Val-de-,
80584,8,d’honneur de l’aéroport d'Orly,Marne,D.Noizet
,,Entretien avec Mahamat,,
,,"CHOUA, Président du parti",,
,15/04/200,tchadien  « Rassemblement pour,,
80585,8,la Démocratie et le Progrès,Élysée,A.Roine
,,Installation du Comité de,,
,,réflexion sur le Préambule de la,,
,15/04/200,"Constitution, présidé par Simone",,
80586,8,VEIL,Élysée,M.Klein
,15/04/200,,,
80587,8,Entretien avec David DOUILLET,Élysée,D.Noizet
,,Entretien avec Daniel COHN-,,
,,"BENDIT, Président du Groupe",,
,,des Verts/Alliance libre,,
,,européenne au Parlement,,
,,"européen, dans le cadre de la",,
,16/04/200,préparation de la présidence,,
80589,8,française de l’Union européenne,Élysée,L.Blevennec
,,Déplacement à Neufchâteau sur,,
,17/04/200,le thème de l’organisation et des,,
80591,8,missions de l’hôpital,Vosges,A.Roine
,,Intervention devant les,,
,,représentants des principaux pays,,
,,industrialisés et émergeants,,
,,émetteurs de carbone dans le,,
,18/04/200,cadre d’une réunion sur le,,
80592,8,changement climatique,Paris,M.Klein
,18/04/200,"Entretien avec Lionel Jospin,",,
80593,8,ancien Premier Ministre,Élysée,L.Blevennec
,,Déplacement aux obsèques,,
,20/04/200,d’Aimé CESAIRE à Fort-de-,,
80594,8,France,Martinique,A.Roine
,,"Entretien avec Jacques DIOUF,",,
,,Directeur général de,,
,,l’Organisation des Nations Unies,,
,22/04/200,pour l’Alimentation et,,
80596,8,l’Agriculture (FAO),Élysée,L.Blevennec
80597,22/04/200,"Lettre de créances: Belgique,",Élysée,A.Roine
,8,"Oman, Cote d'ivoire, Vietnam,",,
,,"Madagascar, Brésil, Chine,Argentine",,
80598,22/04/08,"Dîner avec Hosni MOUBARAK,Président de la République arabed’Égypte",Élysée,A.Roine
80599,24/04/08,Émission télévisée du Présidentde la République sur TF1 etFrance 2 PRIVE,Élysée,Blevennec/Roine
80600,25/04/08,Visite officielle en principauté deMonaco,Monaco,A.Roine
80602,28/04/08,"Entretien avec le CheikHammad Bin jassen, Premierministre du Qatar",Élysée,M.Klein
80603,28/04/08,Visite d'État à Tunis et Carthagede Monsieur le Président et CarlaBruni-Sarkozy,Tunisie,Noizet/Blevennec
80604,29/04/08,Conférence de EmmanuelleMignon sur le mécénat duChâteau de CHAMBORD parl'entreprise LEFEVRE,Élysée,A.Roine
80606,30/04/08,Cérémonie de remise du Muguet,Élysée,M.Klein
80607,01/05/08,"Allocution  à l’occasion de laremise du Prix Charlemagne àAngela MERKEL, Chancelièrede la République fédéraled’Allemagne à Aix-la-Chapelle",Allemagne,D.Noizet
80609,05/05/08,"Entretien avec MichelROCARD, dans le cadre de lapréparation de la présidencefrançaise de l'Union européenne",Élysée,M.Klein
80610,05/05/08,"Entretien avec Yves LETERME,Premier ministre du Royaume deBelgique",Élysée,D.Noizet
80611,05/05/08,"Entretien avec Abdullahi YusufAhmed, Président de laRépublique de Somalie",Élysée,M.Klein
80613,06/05/08,Déplacement à Les Angles sur lethème de l'emploi des séniors,Gard,M.Klein
80615,07/05/08,Entretien avec la famille deFlorence CASSEZ,Élysée,D.Noizet
80617,07/05/08,"Entretien avec FelipeGONZALEZ, ancien Chef dugouvernement espagnol",Élysée,M.Klein
80618,07/05/08,"Entretien avec Michaelle JEAN,Gouverneure générale du Canada",Élysée,D.Noizet
80620,08/05/08,63ème anniversaire de la Victoiredu 8 mai 1945 à Ouistreham etcimetière canadien de Beny-Reviers,Calvados,Noizet/Klein
,09/05/200,"Entretien avec M. BUISSON, M.",,
80621,8,LEMETAYER et M. BEULIN,Élysée,M.Klein
,09/05/200,"Entretien avec Jane Birkin,",,
80622,8,actrice et chanteuse (Marc Klein),Élysée,M.Klein
,,Cérémonie de Commémoration,,
,,nationale des mémoires de la,,
,10/05/200,,,
,,"traite négrière, de l’esclavage et",,
,8,,,
,,de leurs abolitions au jardin du,,
80624,,Luxembourg,Paris,M.Klein
,,Déplacement à Vienne sur le,,
,13/05/200,,,
,,thème de la modernisation de,,
,8,,,
80625,,l'économie,Isère,A.Roine
,,"Entretien avec Rafael CORREA,",,
,13/05/200,,,
,,Président de la République,,
,8,,,
80627,,d'Équateur,Élysée,M.Klein
,,Entretien avec Albert Pintat,,
,13/05/200,"Santolaria, joan Gabriel Estany",,
,8,de la principauté d'Andorre en,,
80628,,présence de Emmanuelle Mignon,Élysée,A.Roine
,15/05/200,Déclaration sur le thème de,,
80629,8,l’Éducation nationale,Élysée,A.Roine
,,Déplacement à l'ANPE de,,
,16/05/200,,,
,,Dammarie-les-Lys et Melun sur,Seine-et-,
,8,,,
80630,,le thème de l'emploi,Marne,A.Roine
,,Entretien avec Jens,,
,16/05/200,,,
,,"STOLTENBERG, Premier",,
,8,,,
80631,,Ministre du Royaume de Norvège,Élysée,L.Blevennec
,,Entretien avec Jacques,,
,19/05/200,DELORS dans le cadre de la,,
,8,préparation de la présidence,,
80632,,française de l'Union européenne,Élysée,M.Klein
,19/05/200,"Entretien avec Jean CHAREST,",,
80633,8,Premier Ministre du Québec,Élysée,A.Roine
,,10ème anniversaire de la,,
,19/05/200,,,
,,Fondation de la 2ème Chance au,,
,8,,,
80634,,Pavillon Gabriel,Paris,L.Blevennec
,,Déplacement à l'ambassade de,,
,19/05/200,chine à Paris pour signer le,,
,8,registre de condoléances suite au,,
80635,,séisme en chine,Paris,L.Blevennec
,,"Déplacement à Ormes, Olivet et",,
,20/05/200,Orléans sur le thème de la mise,,
,8,en œuvre du Grenelle de,,
80636,,l’Environnement,Loiret,L.Blevennec
,21/05/200,Remise de décoration à Steven,,
80637,8,SPIELBERG,Élysée,D.Noizet
80638,21/05/200,Déjeuner avec son Altesse,Élysée,L.Blevennec
,8,Cheikh Mohamed Bin Rachid,,
,,"AL MAKTOUM, Premier",,
,,"ministre des Émirats arabes unis,",,
,,Émir de Dubaï,,
,,Prise d’armes aux Invalides pour,,
,21/05/200,la célébration du 30ème,,
,8,anniversaire de Kolwezi et des,,
80639,,opérations extérieures,Paris,Roine/Klein
,,"Entretien avec Jacob ZUMA,",,
,22/05/200,Président de l’African National,,
,8,"Congress, principal parti sud-",,
80641,,africain,Élysée,L.Blevennec
,,Remise du rapport de la HALDE,,
,22/05/200,"par son Président, Louis",,
,8,SCHWEITZER et les membres,,
80642,,du Collège,Élysée,L.Blevennec
,,Déjeuner avec Ferenc,,
,22/05/200,,,
,,"GYURCSANY, Premier ministre",,
,8,,,
80643,,de la République de Hongrie,Élysée,M.Klein
,,Entretien avec Gaston TONG,,
,22/05/200,,,
,,"SANG, Président de la Polynésie",,
,8,,,
80644,,française,Élysée,D.Noizet
,22/05/200,Remise de décoration à Céline,,
80645,8,DION,Élysée,L.Blevennec
,23/05/200,Visite officielle à Luanda,,
80646,8,,Angola,M.Klein
,,Finale de la coupe de France de,,
,24/05/200,,,
,,Football PSG/Olympique,Seine-Saint-,
,8,,,
80647,,Lyonnais au Stade de France,Denis,L.Blevennec
,,"Entretien avec Tzipi LIVNI,",,
,25/05/200,Vice-Premier ministre et ministre,,
,8,des Affaires étrangères,,
80648,,israéliennes,Élysée,L.Blevennec
,25/05/200,60 ème anniversaire de l'État de,,
80649,8,Israël au Trocadéro,Paris,L.Blevennec
,,Déplacement à Verberie sur le,,
,26/05/200,thème de la réforme de,,
,8,l’intéressement et de la,,
80650,,participation,Oise,D.Noizet
,,Visite de Monsieur le Président et,,
,27/05/200,,,
,,Madame Carla Bruni-Sarkozy au,Val-de-,
,8,,,
80651,,marché de Rungis,Marne,M.Klein
,,Signature du contrat de projets,,
,,entre l’État et la Polynésie,,
,27/05/200,,,
,,française avec le Président de la,,
,8,,,
,,"Polynésie française, Gaston",,
80652,,TONG SANG,Élysée,M.Klein
,,Entretien avec Stephen Joseph,,
,27/05/200,,,
,,"HARPER, Premier ministre du",,
,8,,,
80653,,Canada,Élysée,L.Blevennec
,28/05/200,Sommet Franco-Polonais à,,
80655,8,Varsovie,Pologne,A.Roine
80657,29/05/200,Dîner de travail avec Vladimir,Élysée,M.Klein
,,"POUTINE, Premier Ministre de",,
,8,,,
,,la Fédération de Russie,,
,30/05/200,Déplacement à Vienne,,
80658,8,,Autriche,M.Klein
,,Rencontre à Clairefontaine avec,,
,02/06/200,,,
,,l'équipe de France de football à la,,
,8,,,
80659,,veille de l'Euro foot 2008,Yvelines,L.Blevennec
,02/06/200,Discours à l'occasion du,,
80660,8,bicentenaire des recteurs,Élysée,A.Roine
,02/06/200,"Entretien avec Pédro PIRES,",,
80661,8,Président du Cap Vert,Élysée,L.Blevennec
,,Déplacement à la chapelle ardente,,
,03/06/200,,,
,,"de Allinges, suite à l'accident du",Haute-,
,8,,,
80663,,car scolaire,Savoie,D.Noizet
,03/06/200,,,
80664,8,Déplacement à la F.A.O à Rome,Italie,D.Noizet
,04/06/200,Rencontre avec les dix architectes,,
80665,8,pour le Grand Paris,Élysée,L.Blevennec
,,Remise du rapport par Vincent,,
,,"LAMANDA, Premier président",,
,04/06/200,de la cour de cassation sur,,
,8,"""amoindrir les risques de",,
,,récidives criminelles des,,
80666,,"condamnés dangereux""",Élysée,D.Noizet
,05/06/200,Déplacement à Saumur sur le,Maine-et-,
80667,8,thème de la réforme de l'école,Loire,A.Roine
,,Obsèques de Yves Saint-Laurent,,
,05/06/200,,,
,,à l'église Saint-Roch en présence,,
,8,,,
80668,,de Carla Bruni-Sarkozy,Paris,L.Blevennec
,06/06/200,,,
80670,8,Visite Officielle à Athènes,Grèce,D.Noizet
,07/06/200,,,
80671,8,Visite Officielle à Beyrouth,Liban,D.Noizet
,,Conseil des ministres Franco-,,
,09/06/200,,,
,,allemand à Straubong-en-,,
,8,,,
80672,,Bavière,Allemagne,A.Roine
,10/06/200,Conférence nationale sur le,,
80673,8,handicap à la Cinémathèque,Paris,D.Noizet
,,Entretien avec Navinchandra,,
,10/06/200,,,
,,"RAMGOOLAM, Premier",,
,8,,,
80674,,ministre de Maurice,Élysée,A.Roine
,,"Décoration collective: FRIESS,",,
,,"CARRERE D'ENCAUSSE,",,
,10/06/200,"BARATAUD, HALTER,",,
,8,"BANQUY, DE JUNIAC,",,
,,"NOBLE, BOLI, LOISEAU,",,
80675,,"SABOURET, PAPON",Élysée,Noizet/Roine
,,Déjeuner avec Nursultan,,
,11/06/200,,,
,,"NAZARBAEV, Président de",,
,8,,,
80676,,KAZAKHSTAN,Élysée,A.Roine
,11/06/200,Rencontre avec les familles des,,
80677,8,victimes de l'accident à Allinges,Élysée,D.Noizet
,11/06/200,Entretien avec HASSANAL,,
80678,8,"BOLKIAH, Sultan de Brunei",Élysée,A.Roine
,,"Entretien avec Hamid KARZAI,",,
,12/06/200,,,
,,Président de la République,,
,8,,,
80679,,d'AFGHANISTAN,Élysée,D.Noizet
,,Ouverture de la conférence,,
,12/06/200,,,
,,internationale de soutien à,,
,8,,,
80680,,l'Afghanistan au Centre Kléber,Élysée,A.Roine
,,Déjeuner avec ALHAJI UMAR,,
,12/06/200,,,
,,"YAR'ADUA, Président du",,
,8,,,
80681,,NIGERIA,Élysée,A.Roine
,,"Entretien avec BAN KI MOON,",,
,12/06/200,,,
,,Secrétaire Général des Nations-,,
,8,,,
80682,,Unies,Élysée,D.Noizet
,,Remise de décorations à Alain de,,
,12/06/200,,,
,,"la Morandais, Malek Chebel,",,
,8,,,
80683,,Patrick Desbois,Élysée,A.Roine
,,Déplacement à Bourges sur le,,
,13/06/200,,,
,,thème de la santé et des soins,,
,8,,,
80684,,palliatifs,Cher,D.Noizet
,,Dîner offert en l'honneur de,,
,13/06/200,Monsieur et Madame Georges,,
,8,"W.BUSH, Président des États-",,
80685,,Unis,Élysée,Noizet/Roine
,,Entretien avec Georges,,
,14/06/200,,,
,,"W.BUSH, Président des États-",,
,8,,,
80686,,Unis d'Amérique,Élysée,A.Roine
,16/06/200,,République,
80687,8,Déplacement à Prague,Tchèque,A.Roine
,,Discours sur la défense et la,,
,17/06/200,,,
,,"sécurité nationale, annonce du",,
,8,,,
80688,,livre blanc - Porte de Versailles,Paris,L.Blevennec
,17/06/200,Remise de décoration à Yann,,
80690,8,ARTHUS BERTRAND,Élysée,L.Blevennec
,18/06/200,Cérémonie de l'Appel du 18 JUIN,Hauts-de-,
80691,8,1940 au Mont-Valérien,Seine,D.Noizet
,,Déjeuner avec Gordon,,
,19/06/200,,,
,,"BROWN, Premier Ministre",,
,8,,,
80692,,ROYAUME UNI,Élysée,D.Noizet
,19/06/200,,,
80693,8,Conseil Européen à Bruxelles,Belgique,L.Blevennec
,21/06/200,Fête de la musique au Palais de,,
80694,8,l'Élysée,Élysée,L.Blevennec
,,Visite d'État de Monsieur et,,
,22/06/200,,,
,,Madame Nicolas Sarkozy à,,
,8,,,
80695,,Jérusalem,Israël,A.Roine
80696,24/06/200,Visite d'État de Monsieur et,Palestine,A.Roine
,8,Madame Nicolas Sarkozy à,,
,,Bethléem,,
,,Déjeuner avec les Président de,,
,25/06/200,,,
,,groupes politiques du Parlement,,
,8,,,
80698,,Européen,Élysée,D.Noizet
,,Remise du rapport de la,,
,25/06/200,,,
,,commission pour la nouvelle,,
,8,,,
80699,,télévision publique,Élysée,L.Blevennec
,,Réception en l'honneur des,,
,25/06/200,,,
,,participants au sommet de,,
,8,,,
80700,,l'international Democrat Union,Élysée,Noizet/Blevennec
,26/06/200,Déplacement à Limoges sur le,Haute-,
80701,8,thème des pôles de compétitivité,Vienne,D.Noizet
,,Entretien Hans-Gert,,
,,"POTTERING, Président du",,
,01/07/200,,,
,,Parlement Européen et José,,
,8,,,
,,"Manuel BARROSO, Président",,
80702,,de la Commission Européenne,Élysée,D.Noizet
,,Cérémonie marquant l'entrée de,,
,01/07/200,la France dans la Présidence de,,
,8,l'Union Européenne à l'Arc de,,
80703,,Triomphe,Paris,A.Roine
,02/07/200,"Entretien avec Omar BONGO,",,
80704,8,Président du Gabon,Élysée,A.Roine
,02/07/200,Réception avec les députés,,
80705,8,européens du groupe PPF,Élysée,A.Roine
,,Déplacement au Creusot sur le,,
,03/07/200,,,
,,thème de la politique industrielle,Saône-et-,
,8,,,
80707,,et énergétique de la France,Loire,A.Roine
,,Remise de décorations à Claudia,,
,03/07/200,,,
,,CARDINAL et Giorgio,,
,8,,,
80708,,ARMANI,Élysée,Noizet/Roine
,,Réunion avec Jacques ATTALI,,
,04/07/200,et les principaux membres de la,,
,8,commission pour la libération de,,
80709,,la croissance,Élysée,A.Roine
,,Entretien avec Serguei,,
,04/07/200,,,
,,"STANICHEV, Premier Ministre",,
,8,,,
80710,,de Bulgarie,Élysée,D.Noizet
,,Accueil d'Ingrid,,
,04/07/200,BETANCOURT à Villacoublay,,
,8,et rencontre avec son comité de,,
80711,,soutien à l'Élysée,Yvelines,Noizet/Roine
,07/07/200,Sommet du G8 à Toyako-,,
80713,8,Hokkaïdo,Japon,L.Blevennec
,10/07/200,Discours devant le Parlement,,
80715,8,Européen à Strasbourg,Bas-Rhin,D.Noizet
,,Déjeuner Mohamed Hosni,,
,12/07/200,"MOUBARAK, Président de la",,
,8,République arabe d'Égypte au,,
80716,,Bristol,Paris,L.Blevennec
,,Entretien avec Michel,,
,12/07/200,,,
,,"SLEIMANE, Président de la",,
,8,,,
80717,,République du Liban,Élysée,L.Blevennec
,,Entretien avec Bachar  EL,,
,12/07/200,,,
,,"ASSAD, Président de la",,
,8,,,
80718,,République de Syrie,Élysée,L.Blevennec
,,Conférence de presse conjointe,,
,12/07/200,,,
,,"avec la FRANCE, SYRIE,",,
,8,,,
80719,,"LIBAN, EMIR DU QATAR",Élysée,L.Blevennec
,,Entretien avec Recip Tayyip,,
,13/07/200,,,
,,"ERDOGAN, Premier Ministre de",,
,8,,,
80720,,Turquie,Élysée,D.Noizet
,,Conférence conjointe avec la,,
,13/07/200,,,
,,"FRANCE, ISRAEL,",,
,8,,,
80721,,PALESTIENNE,Élysée,Noizet/Blevennec
,13/07/200,Sommet Euro-Méditérranée au,,
80722,8,Grand Palais,Élysée,Noizet/Blevennec
,,Entretien avec Lech,,
,14/07/200,,,
,,"KACZYNSKI, Président de",,
,8,,,
80723,,Pologne,Élysée,L.Blevennec
,14/07/200,,,
80724,8,Cérémonie du 14 Juillet,Paris,D.Noizet
,,Déjeuner avec les chefs de,,
,,délégation à Marigny suivi,,
,14/07/200,,,
,,réception dans les jardins et,,
,8,,,
,,remise de décoration à Ingrid,,
80725,,BETANCOURT,Élysée,Noizet/Blevennec
,,Entretien avec le Prince,,
,16/07/200,,,
,,ALWALEED BIN TALA BIN,,
,8,,,
80727,,ABDULAZIZ AL SAUD,Élysée,A.Roine
,,Pose de la première pierre des,,
,16/07/200,,,
,,salles d'art islamique au Musée,,
,8,,,
80728,,du Louvre,Paris,D.Noizet
,,Entretien Joseph KABILA,,
,16/07/200,,,
,,"KABANGE, Président de la",,
,8,,,
80729,,République du Congo,Élysée,A.Roine
,21/07/200,Déplacement à Dublin,,
80732,8,,Irlande,A.Roine
,,Déplacement à Batz-sur-Mer sur,,
,24/07/200,,,
,,le thème des vacances pour tous,Loire-,
,8,,,
80734,,"et la TVA à 5,5%",Atlantique,A.Roine
,,Sommet UE-Afrique du Sud à,,
,25/07/200,,,
,,Bordeaux dans le cadre de la,,
,8,,,
80736,,PFUE,Gironde,A.Roine
,,"Entretien avec Barack OBAMA,",,
,25/07/200,,,
,,candidat démocrate à la Maison,,
,8,,,
80737,,Blanche,Élysée,D.Noizet
,,Déplacement à Pékin à l'occasion,,
,08/08/200,,,
,,de l'ouverture des Jeux,,
,8,,,
80739,,Olympiques,Chine,L.Blevennec
80741,12/08/08,Déplacement à Moscou,Russie,A.Roine
80742,12/08/08,Déplacement à Tbilissi,Géorgie,A.Roine
80743,20/08/08,Déplacement à Kaboul suite audécès des 10 soldats du 8èmeRPIMA,Afghanistan,L.Blevennec
80744,21/08/08,Cérémonie d'hommage aux 10soldats du 8ème RPIMA auxInvalides,Élysée,A.Roine
80746,22/08/08,Inauguration par le Dalaï Lamaen présence de Carla BruniSarkozy du temple de Lerab Lingà Roqueredonde,Hérault,L.Blevennec
80747,25/08/08,Commémoration à Maillé dumassacre du 25 Août 1944,Indre-et-Loire,D.Noizet
80748,25/08/08,"Entretien avec DanielBARENBOIM, Chef d'orchestre",Élysée,L.Blevennec
80749,26/08/08,Déplacement à Castre au 8èmeRPIMA,Tarn,D.Noizet
80750,26/08/08,Réception avec les sportifsfrançais qui ont participés auxjeux olympique de Pékin,Élysée,Noizet/Blevennec
80751,27/08/08,Remise du livre blanc sur lapolitique étrangère et européennepar Alain JUPPE et LouisSCHWEITZER,Élysée,D.Noizet
80752,27/08/08,Conférence des ambassadeurs,Élysée,L.Blevennec
80753,27/08/08,Entretien avec le RoiABDULLAH II de JORDANIE,Élysée,D.Noizet
80754,28/08/08,Déplacement à Laval sur lagénéralisation du RSA,Mayenne,D.Noizet
80755,01/09/08,Entretien avec une délégation dela confédération européenne dessyndicats,Élysée,L.Blevennec
80756,01/09/08,Conseil Européen à Bruxelles,Belgique,A.Roine
80757,02/09/08,"Remise d'un rapport sur la crisefinancière par René RICOL,ancien Président de la Fédérationinternationale des expertscomptables",Élysée,A.Roine
80758,02/09/08,Rencontre avec des élus dudépartement de la Moselleconcernant la restructuration de laDéfense,Élysée,D.Noizet
80759,03/09/08,Visite de travail à Damas,Syrie,A.Roine
80760,05/09/200,Déplacement à Saint-Nazaire,Loire-,D.Noizet
,,pour une rencontre avec les,,
,8,,,
,,salariés d'Aker Yards,Atlantique,
,08/09/200,,,
80761,8,Déplacement à Mayendorff,Russie,L.Blevennec
,08/09/200,,,
80762,8,Déplacement à Tbilissi,Géorgie,L.Blevennec
,09/09/200,Sommet Union-Européenne /,,
80763,8,Ukraine,Élysée,D.Noizet
,10/09/200,Remise du rapport sur le service,,
80764,8,civique par Luc FERRY,Élysée,A.Roine
,,Déjeuner avec Hans-Gert,,
,,"PÖTTERING, Président du",,
,10/09/200,,,
,,Parlement européen et les,,
,8,,,
,,Présidents des groupes politiques,,
80765,,du Parlement,Élysée,L.Blevennec
,,Entretien avec Abdoulaye,,
,10/09/200,,,
,,"WADE, Président de la",,
,8,,,
80766,,République du Sénégal,Élysée,A.Roine
,,"Déplacement à Aigrefeuille,",,
,11/09/200,Châtelaillon-Plage et Lagord,,
,8,sur le thème des revenus du,Charente-,
80767,,travail et de l'intéressement,Maritime,L.Blevennec
,,Accueil à l'aéroport d'Orly du,,
,12/09/200,,,
,,Pape Benoît XVI en présence de,Val-de-,
,8,,,
80768,,Carla Bruni Sarkozy,Marne,A.Roine
,12/09/200,Entretien avec le Pape Benoît,,
80769,8,XVI,Élysée,Blevennec/Roine
,,Remise de lettre de créances:,,
,,"LIBAN, AUSTRALIE,",,
,,"BIELORUSSIE, ZMBIE,",,
,,"BOSNIE-HERZEGOVINE,",,
,,"URUGUAY, BENIN,",,
,15/09/200,,,
,,"BURUNDI, NIGERIA,",,
,8,,,
,,"GAMBIE, KAZAKHSTAN,",,
,,"PANAMA, BANGLADESH,",,
,,"BURKINA FASO, MONACO,",,
,,"BAHREIN, ALLEMANGNE,",,
80770,,SOUDAN,Élysée,D.Noizet
,,Conférence de presse suite à la,,
,16/09/200,,,
,,libération des deux otages en,,
,8,,,
80771,,Somalie,Élysée,D.Noizet
,,Entretien avec Silvio,,
,16/09/200,,,
,,"BERLUSCONI, Président du",,
,8,,,
80772,,conseil des ministres italien,Élysée,D.Noizet
,17/09/200,"Déjeuner avec Robert FICO,",,
80773,8,Premier Ministre de Slovaquie,Élysée,D.Noizet
80774,17/09/200,Décoration collective: Yvon,Élysée,Noizet/Blevennec
,8,"GATTAZ, Jacques-Henri",,
,,"DAVID, Bernadette MALGORN,",,
,,"Jean-Paul LOTH, Valérie-Anne",,
,,"GISCARD d'ESTAING, ValérieHOFFENBERG, BernardFIXOT,, Etienne APAIRE, ,Jeannette BOUGRAB",,
80775,18/09/08,Déplacement à Lons-le-Sauniersur la réforme du système desoins,Jura,D.Noizet
80776,18/09/08,Réception avec les sportifs desjeux paralympique de Pékin,Élysée,Noizet/Blevennec
80777,19/09/08,Réunion sur le Plan Alzheimer,Élysée,D.Noizet
80778,20/09/08,Journées du patrimoine,Élysée,A.Roine
80779,22/09/08,63 ème Assemblée Générale desNation-Unies à New-York,États-Unis,A.Roine
80781,25/09/08,Grande réunion publique sur lapolitique de la France à Toulon,Var,D.Noizet
80783,29/09/08,Sommet Union-Européenne -Inde à Marseille,Bouches-du-Rhône,L.Blevennec
80784,30/09/08,Réunion de travail avec lesprincipaux dirigeants des groupesbancaires et d'assurances français,Élysée,L.Blevennec
80785,30/09/08,"Déjeuner avec MammohanSINGH, Premier Ministre d’Inde",Élysée,A.Roine
80786,30/09/08,Réunion avec une délégation deBusiness Europe,Élysée,A.Roine
80788,01/10/08,Cérémonie du Scellement de laloi constitutionnelle du 23 juillet2008 portant modernisation desinstitutions de la Ve République àla Chancellerie,Paris,L.Blevennec
80789,01/10/08,"Déjeuner avec Brian COWEN,Premier Ministre d'Irlande",Élysée,A.Roine
80790,02/10/08,Ouverture des États généraux dela presse écrite,Élysée,A.Roine
80791,02/10/08,"Entretien avec Jan PeterBalkenende, Premier Ministre duRoyaume des Pays-Bas",Élysée,A.Roine
80794,04/10/08,Sommet des Membres européens,Élysée,L.Blevennec
80795,06/10/08,Déplacement à l’usine Renault àSandouville,Seine-Maritime,D.Noizet
80796,06/10/08,Déclaration suivi d'une réunionavec les banques,Élysée,L.Blevennec
80797,06/10/08,"Entretien avec Yves Leterne,Premier Ministre de Belgique",Élysée,D.Noizet
80798,07/10/08,"Entretien avec Dai Bingguo,conseiller d'état de la Républiquepopulaire de Chine",Élysée,L.Blevennec
,,Discours à l'occasion du 50ème,,
,07/10/200,,,
,,anniversaire de la Constitution à,,
,8,,,
80799,,l'Institut de France,Paris,D.Noizet
,,"Entretien avec Abou Diouf,",,
,07/10/200,,,
,,Secrétaire Général de la,,
,8,,,
80800,,Francophonie,Élysée,L.Blevennec
,,Déplacement à Évian à l'occasion,,
,08/10/200,,,
,,"de la clôture de la  ""World Policy",Haute-,
,8,,,
80802,,"Conférence""",Savoie,D.Noizet
,,Entretien avec Françoise,,
,,BARRE-SINOUSSI et Luc,,
,08/10/200,,,
,,"MONTAGNIER, nouveaux",,
,8,,,
,,lauréats pour leur Prix Nobel de,,
80803,,médecine,Élysée,L.Blevennec
,09/10/200,Visite et allocution au mondial de,,
80804,8,l’automobile - Porte de Versailles,Paris,D.Noizet
,09/10/200,"Déjeuner avec Donald Tusk,",,
80805,8,Premier Ministre de Pologne,Élysée,L.Blevennec
,,Déjeuner avec José Luiz,,
,10/10/200,,,
,,"Zapatéro, Président du",,
,8,,,
80806,,gouvernement espagnol,Élysée,D.Noizet
,,Inauguration du Mémorial,,
,11/10/200,Charles-de-Gaulle et réunion,,
,8,franco-allemande à Colombey-,Haute-,
80807,,les-Deux-Églises,Marne,D.Noizet
,12/10/200,Sommet de l'Eurogroupe sur la,,
80808,8,crise financière,Élysée,D.Noizet
,,Intervention suite à la réunion du,,
,13/10/200,Conseil des ministres,,
,8,extraordinaire sur la crise,,
80809,,financière,Élysée,L.Blevennec
,,Entretien avec le Président du,,
,,"Sénat, le Président de",,
,13/10/200,,,
,,l'Assemblée nationale ainsi que,,
,8,,,
,,les Présidents des groupes,,
80810,,parlementaires,Élysée,L.Blevennec
,,Réunion avec les principaux,,
,,dirigeants des groupes bancaires,,
,14/10/200,,,
,,et d’assurances français ainsi que,,
,8,,,
,,le Gouverneur de la Banque de,,
80811,,France,Élysée,L.Blevennec
