N°Reportage,Date,Intitulé,Lieux,Photographe
70053,15/06/07,Réunion avec le Conseil deCoopération Économique,Élysée,M.Klein
70054,15/06/07,Visite du Centre deplanification et de conduitedes opérations militaires,Paris,P.Segrette
70055,15/06/07,"Entretien avec LansanaKOUYATE, PremierMinistre de Guinée",Élysée,L.Blevennec
70057,18/06/07,Cérémonie commémorativede l'appel du 18 juin 1940 auMont-Valérien,Paris,Klein/Segrette
70058,18/06/07,"Entretien avec FrançoisBAYROU, Président duMODEM",Élysée,L.Blevennec
70059,19/06/07,"Entretien avec FrançoisHOLLANDE, Secrétaire duParti Socialiste",Élysée,M.Klein
70060,19/06/07,"Entretien avec MadameBOREL, veuve du jugeBOREL",Élysée,M.Klein
70061,19/06/07,"Entretien avec LaurentFABIUS, ancien PremierMinistre",Élysée,M.Klein
70062,20/06/07,Conseil des ministres dugouvernement FILLON 2,Élysée,Noizet/Segrette
70063,20/06/07,Rencontre avec lesparlementaires UMP,Élysée,Blevennec/Klein
70067,21/06/07,"Consultation avec desreprésentants de partispolitiques (Philippe DEVILLIERS, JérômePEYRAT, Henri GUAINO,Patrick DEVEDJAN, Jean-Pierre RAFFARIN, CécileDUFLOT, SégolèneROYAL, Marie-Georges",Élysée,D.Noizet
,,BUFFET),,
70068,21/06/07,"Déjeuner avec AbdullahBin Abdulaziz Al Saoud,Roi d'Arabie Saoudite",Élysée,D.Noizet
70069,21/06/07,Fête de la musique au Palaisde l'Élysée,Élysée,P.Segrette
70070,21/06/07,Conseil Européen àBruxelles,Belgique,M.Klein
70071,23/06/07,47ème Salon del'aéronautique et de l'espacedu Bourget,Seine-Saint-Denis,M.Klein
70072,25/06/07,"Entretien avec CondoleezzaRICE, Secrétaire d'État desÉtats-Unis",Élysée,D.Noizet
70073,25/06/07,Entretien avec le groupe decontact international élargisur le Darfour,Élysée,L.Blevennec
70074,25/06/07,"Entretien avec Ali AbdallahSALEH, Président duYémen",Élysée,L.Blevennec
70075,25/06/07,Entretien avec le bureau dela conférence des présidentsd'université,Élysée,M.Klein
70076,25/06/07,"Entretien avec Ban KI-MOON, Secrétaire Généraldes nations Unies",Élysée,P.Segrette
70077,25/06/07,"Entretien avec ArnoldSCHWARZENEGGER,Gouverneur de l'État deCalifornie",Élysée,L.Blevennec
70078,26/06/07,Inauguration du satellite n°3de l'aéroport de Roissy-Charles de GAULLE,Seine-Saint-Denis,L.Blevennec
70079,26/06/07,"Entretien avec FouadSINIORA, Premier Ministredu Liban",Élysée,P.Segrette
70080,26/06/07,Entretien concernantl'enseignement supérieur -enseignant,Élysée,L.Blevennec
70081,26/06/07,Entretien concernantl'enseignement supérieur -étudiants,Élysée,L.Blevennec
70082,27/06/07,"Entretien avec Lee KWANYEW, ancien PremierMinistre et Ministre mentorde Singapour",Élysée,D.Noizet
70083,27/06/07,"Remise des lettres decréance du Turkménistan,d'Autriche et du Méxique",Élysée,L.Blevennec
70084,28/06/200,Déplacement à Bron à,Rhône,P.Segrette
,7,l'occasion des obsèques duChef d'escadron NobertAMBROSSE,,
